date,time,open,close,high,low,volume
2020-01-01,05:30:00,941.9,944.35,953.85,934.8,1718655
2020-01-02,05:30:00,944.0,930.4,944.0,927.05,657531
2020-01-03,05:30:00,928.0,931.4,943.5,927.55,868570
2020-01-06,05:30:00,927.0,894.45,927.05,890.1,784734
2020-01-07,05:30:00,897.0,907.4,921.5,897.0,697359
2020-01-08,05:30:00,899.0,896.15,902.6,886.3,554070
2020-01-09,05:30:00,910.35,913.65,920.6,910.0,599400
2020-01-10,05:30:00,912.0,917.25,927.4,908.65,508777
2020-01-13,05:30:00,920.0,939.15,942.8,916.05,782985
2020-01-14,05:30:00,945.0,974.15,983.7,942.05,2897447
2020-01-15,05:30:00,978.0,985.4,996.0,973.85,1712570
2020-01-16,05:30:00,984.8,1003.65,1008.35,984.75,1521414
2020-01-17,05:30:00,1010.0,1021.85,1025.0,1010.0,1099347
2020-01-20,05:30:00,1027.2,993.35,1028.2,988.05,887648
2020-01-21,05:30:00,992.4,982.75,994.4,978.0,576489
2020-01-22,05:30:00,990.0,996.85,1006.0,987.0,594103
2020-01-23,05:30:00,998.6,995.5,1000.75,989.0,326740
2020-01-24,05:30:00,1000.0,1002.7,1012.6,992.1,486570
2020-01-27,05:30:00,1001.9,1007.6,1017.45,995.0,552128
2020-01-28,05:30:00,1013.6,1048.7,1059.9,1010.15,1302893
2020-01-29,05:30:00,1072.5,1116.4,1129.9,1063.5,2878180
2020-01-30,05:30:00,1132.8,1137.15,1164.0,1116.05,3814613
2020-01-31,05:30:00,1152.1,1210.3,1235.0,1146.05,3326290
2020-02-01,05:30:00,1241.0,1190.35,1333.0,1168.2,11650679
2020-02-03,05:30:00,1194.35,1250.85,1263.0,1186.05,2852658
2020-02-04,05:30:00,1290.0,1412.65,1438.0,1286.0,6594725
2020-02-05,05:30:00,1457.0,1508.55,1547.8,1441.0,10960302
2020-02-06,05:30:00,1532.0,1504.3,1563.0,1472.0,5593623
2020-02-07,05:30:00,1500.0,1513.5,1528.0,1482.0,2379411
2020-02-10,05:30:00,1523.9,1480.2,1538.0,1466.0,2990816
2020-02-11,05:30:00,1495.2,1408.0,1505.0,1378.6,2889010
2020-02-12,05:30:00,1395.0,1415.25,1450.0,1350.0,5342502
2020-02-13,05:30:00,1583.5,1580.35,1609.8,1515.35,11381387
2020-02-14,05:30:00,1599.0,1557.4,1603.9,1548.6,3329548
2020-02-17,05:30:00,1564.9,1518.65,1565.0,1510.0,1568959
2020-02-18,05:30:00,1515.0,1638.6,1648.0,1485.0,7586511
2020-02-19,05:30:00,1666.3,1831.9,1872.7,1658.4,13312044
2020-02-20,05:30:00,1870.0,1930.05,1977.0,1862.05,12052002
2020-02-24,05:30:00,1900.0,1923.5,1989.9,1812.0,9857426
2020-02-25,05:30:00,1923.3,1951.95,1994.0,1917.0,5764224
2020-02-26,05:30:00,1959.0,1951.65,1983.7,1940.0,3688725
2020-02-27,05:30:00,1967.0,1909.4,1970.0,1888.8,3475379
2020-02-28,05:30:00,1842.0,1743.8,1865.9,1731.3,5090258
2020-03-02,05:30:00,1810.0,1723.25,1873.7,1636.45,4904409
2020-03-03,05:30:00,1770.0,1739.3,1809.0,1686.55,4315203
2020-03-04,05:30:00,1752.0,1565.4,1765.0,1565.4,4406093
2020-03-05,05:30:00,1507.0,1430.85,1524.95,1411.1,7607334
2020-03-06,05:30:00,1359.35,1359.35,1359.35,1359.35,232008
2020-03-09,05:30:00,1291.4,1291.4,1291.4,1291.4,135085
2020-03-11,05:30:00,1226.85,1285.35,1355.95,1226.85,4083929
2020-03-12,05:30:00,1221.1,1221.1,1221.1,1221.1,135614
2020-03-13,05:30:00,1160.05,1227.75,1268.8,1160.05,3184135
2020-03-16,05:30:00,1181.1,1166.4,1198.0,1166.4,1345706
2020-03-17,05:30:00,1152.0,1108.1,1178.8,1108.1,1798036
2020-03-18,05:30:00,1076.6,1052.7,1087.95,1052.7,411932
2020-03-19,05:30:00,1000.1,1000.1,1033.0,1000.1,671844
2020-03-20,05:30:00,970.25,951.0,1005.0,950.1,3068377
2020-03-23,05:30:00,903.45,903.45,903.45,903.45,166278
2020-03-24,05:30:00,861.0,858.3,877.95,858.3,269345
2020-03-25,05:30:00,820.25,815.4,825.0,815.4,295503
2020-03-26,05:30:00,774.65,856.15,856.15,774.65,1053226
2020-03-27,05:30:00,898.95,898.95,898.95,898.95,159470
2020-03-30,05:30:00,889.9,935.8,943.85,858.15,1825236
2020-03-31,05:30:00,982.55,982.55,982.55,982.55,64614
2020-04-01,05:30:00,1031.65,1031.65,1031.65,1031.65,56186
2020-04-03,05:30:00,1083.2,1083.2,1083.2,1083.2,224922
2020-04-07,05:30:00,1110.0,1137.35,1137.35,1099.0,595441
2020-04-08,05:30:00,1194.2,1194.2,1194.2,1194.2,96331
2020-04-09,05:30:00,1253.9,1253.9,1253.9,1253.9,102764
2020-04-13,05:30:00,1259.0,1290.8,1316.55,1200.1,3734630
2020-04-15,05:30:00,1226.3,1230.55,1288.8,1226.3,1503122
2020-04-16,05:30:00,1224.0,1292.05,1292.05,1190.0,1328033
2020-04-17,05:30:00,1356.65,1356.65,1356.65,1308.65,1950259
2020-04-20,05:30:00,1407.0,1424.45,1424.45,1370.0,1180896
